,City,State,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
0,New York,NY,400000.0,399840.0,395000.0,400000.0,414782.0,425000.0,430000.0,430000.0,420000.0,408147.0,410000.0,402000.0,410000.0,410000.0,400000.0,410000.0,420000.0,435000.0,440000.0,435000.0,427500.0,424450.0,419986.0,420000.0,423000.0,423750.0,420000.0,435000.0,434950.0,445000.0,448250.0,455000.0
1,Los Angeles,CA,599000.0,625000.0,630000.0,635000.0,650000.0,652000.0,645000.0,650000.0,635000.0,635000.0,640000.0,625000.0,615000.0,629000.0,640000.0,650000.0,645000.0,653500.0,670000.0,650000.0,650000.0,650000.0,650000.0,655000.0,655000.0,658000.0,679000.0,665000.0,650000.0,681500.0,710000.0,725000.0
2,Chicago,IL,215000.0,217500.0,230000.0,239000.0,240000.0,249900.0,243000.0,233000.0,229000.0,222000.0,223000.0,220000.0,216000.0,222000.0,232500.0,240000.0,246000.0,249500.0,249000.0,242000.0,235000.0,231000.0,231250.0,230000.0,223000.0,225000.0,248000.0,260000.0,251000.0,254000.0,262000.0,270000.0
3,Dallas,TX,246000.0,255000.0,265000.0,265000.0,275000.0,280000.0,274000.0,267000.0,260000.0,257000.0,258000.0,264900.0,249900.0,259000.0,267000.0,269093.0,280000.0,283000.0,277000.0,275000.0,270000.0,270000.0,270000.0,275000.0,265000.0,273900.0,280000.0,285000.0,280000.0,290000.0,300000.0,300000.0
4,Philadelphia,PA,220000.0,220000.0,230000.0,235000.0,242000.0,250000.0,252000.0,255000.0,244000.0,232750.0,236700.0,237000.0,229000.0,225000.0,240000.0,242821.0,251000.0,265000.0,266000.0,262400.0,250000.0,245000.0,250000.0,250000.0,239550.0,240000.0,250000.0,270000.0,261250.0,269000.0,278000.0,279900.0
5,Houston,TX,218500.0,224000.0,230000.0,239990.0,242000.0,242000.0,243000.0,238000.0,230500.0,230875.0,232145.0,239996.0,226495.0,230000.0,240000.0,243185.0,247000.0,252990.0,249000.0,248000.0,242000.0,239498.0,245000.0,250000.0,236000.0,246000.0,247990.0,252000.0,247500.0,260000.0,269000.0,265450.0
6,Washington,DC,380000.0,385000.0,399900.0,410000.0,419000.0,419000.0,415402.0,409000.0,397656.0,395000.0,399000.0,410000.0,388000.0,395000.0,410000.0,416850.0,427500.0,425000.0,425000.0,419000.0,400000.0,400000.0,420000.0,417500.0,389900.0,415000.0,435000.0,440000.0,432750.0,435000.0,460000.0,450000.0
7,Miami,FL,265000.0,265000.0,278400.0,274900.0,280000.0,290000.0,280000.0,280000.0,280000.0,280000.0,284695.0,281600.0,270000.0,272000.0,283250.0,280000.0,285000.0,298600.0,293000.0,290000.0,286000.0,294000.0,296500.0,295000.0,290000.0,295000.0,305000.0,310000.0,310000.0,318000.0,325000.0,335000.0
8,Atlanta,GA,220000.0,226900.0,237285.0,240000.0,247000.0,250000.0,243000.0,238147.0,245000.0,241050.0,240000.0,244832.0,239000.0,239335.0,248000.0,250000.0,259900.0,262500.0,260000.0,252500.0,253900.0,250000.0,254000.0,256000.0,245000.0,257000.0,265000.0,275000.0,263110.0,270000.0,280000.0,282000.0
9,Boston,MA,416533.0,418000.0,440000.0,450000.0,453250.0,480000.0,475000.0,465000.0,435000.0,435000.0,445700.0,426500.0,444000.0,430000.0,437000.0,450000.0,479000.0,488000.0,480000.0,475000.0,450000.0,450000.0,450000.0,455000.0,456000.0,456425.0,481663.0,500600.0,495000.0,510000.0,520000.0,529900.0
10,San Francisco,CA,705000.0,763000.0,820000.0,844250.0,855000.0,866750.0,825000.0,800000.0,777500.0,820000.0,800000.0,764900.0,710000.0,764000.0,786000.0,835000.0,850000.0,841000.0,800000.0,780000.0,775000.0,822750.0,800000.0,785000.0,748000.0,759000.0,825000.0,830000.0,825000.0,860000.0,899000.0,915000.0
11,Detroit,MI,165000.0,165000.0,175000.0,175000.0,188000.0,193000.0,190000.0,190000.0,181000.0,179800.0,176000.0,176000.0,167000.0,170000.0,179200.0,180000.0,199900.0,204000.0,200000.0,200000.0,199900.0,190000.0,189000.0,186000.0,179000.0,179900.0,195000.0,204750.0,186000.0,205000.0,222000.0,223000.0
12,Riverside,CA,350000.0,365000.0,362000.0,365000.0,370000.0,370000.0,370000.0,360750.0,369000.0,362000.0,367500.0,368000.0,360000.0,369000.0,373000.0,375000.0,372750.0,374993.0,376000.0,375000.0,375000.0,375000.0,372000.0,375000.0,375000.0,385000.0,389000.0,380000.0,388000.0,399000.0,409636.0,415000.0
13,Phoenix,AZ,255000.0,265000.0,264000.0,260000.0,271268.0,273551.0,271570.0,271588.0,274900.0,274000.0,275000.0,277500.0,273213.0,275000.0,275000.0,280000.0,288285.0,285875.0,286808.0,290000.0,291330.0,295500.0,295000.0,299000.0,295000.0,299500.0,304000.0,300000.0,299900.0,308200.0,315000.0,327000.0
14,Seattle,WA,435000.0,464719.0,475000.0,499000.0,490500.0,489950.0,479719.0,468000.0,460000.0,458250.0,464110.0,463938.0,446154.0,475000.0,491100.0,483000.0,495000.0,486000.0,485000.0,489000.0,475000.0,485000.0,480000.0,499000.0,475000.0,499000.0,517500.0,523750.0,500000.0,531505.0,541700.0,525000.0
15,Minneapolis,MN,243706.0,250000.0,257000.0,258000.0,265000.0,265000.0,265000.0,264000.0,262500.0,265000.0,267500.0,262726.0,259000.0,264900.0,276000.0,279900.0,285000.0,286959.0,284900.0,285000.0,280000.0,279995.0,283000.0,279900.0,272900.0,280000.0,295000.0,305000.0,299500.0,300000.0,310000.0,315000.0
16,San Diego,CA,535000.0,545000.0,560000.0,575000.0,577000.0,580000.0,585000.0,590000.0,582500.0,570000.0,585000.0,565000.0,565000.0,567750.0,575000.0,580000.0,580000.0,597000.0,580000.0,590000.0,572000.0,580000.0,593000.0,575000.0,590000.0,600000.0,592000.0,600000.0,590000.0,605000.0,635000.0,645000.0
17,St. Louis,MO,165000.0,172000.0,175000.0,181000.0,189000.0,192000.0,188340.0,186000.0,179814.0,175610.0,175000.0,183000.0,175000.0,173500.0,179900.0,182000.0,195000.0,205000.0,194900.0,197700.0,185000.0,189500.0,188640.0,187200.0,180950.0,176000.0,187500.0,195000.0,210000.0,207000.0,215000.0,214900.0
18,Tampa,FL,205500.0,210000.0,217500.0,217800.0,220000.0,229900.0,225000.0,223950.0,225000.0,220000.0,227000.0,229900.0,220000.0,223700.0,225000.0,225000.0,228900.0,235000.0,235000.0,235000.0,233000.0,232250.0,233500.0,240000.0,230000.0,234900.0,240000.0,247900.0,246062.0,252000.0,257500.0,260000.0
19,Baltimore,MD,274920.0,261000.0,279000.0,289999.0,292000.0,300000.0,305000.0,300000.0,299900.0,296071.0,297250.0,292000.0,277000.0,282100.0,285000.0,292700.0,300000.0,310000.0,318708.0,302751.0,302860.0,300000.0,295000.0,299900.0,280000.0,285000.0,299000.0,313000.0,304900.0,303000.0,315000.0,325000.0
20,Denver,CO,395000.0,405000.0,410500.0,424000.0,422000.0,425000.0,419728.0,415000.0,405000.0,409688.0,409000.0,409175.0,405000.0,407000.0,417000.0,425000.0,430000.0,425701.0,432000.0,427500.0,423000.0,427125.0,425000.0,420000.0,422500.0,429000.0,440000.0,440000.0,440000.0,447970.0,459000.0,460000.0
21,Pittsburgh,PA,152000.0,155000.0,165000.0,163000.0,168864.0,182000.0,175250.0,174000.0,168000.0,159500.0,162000.0,165000.0,159700.0,160000.0,169500.0,169900.0,177000.0,192200.0,185000.0,189900.0,175500.0,173500.0,175000.0,174950.0,160000.0,160000.0,175000.0,186000.0,185000.0,190000.0,199900.0,199000.0
22,Portland,OR,380090.0,376000.0,380000.0,390000.0,396075.0,402000.0,393250.0,400000.0,386188.0,387108.0,388000.0,382000.0,380000.0,394995.0,390035.0,395300.0,409950.0,405000.0,405000.0,405000.0,397000.0,400000.0,405000.0,400000.0,401450.0,405000.0,415000.0,415000.0,415000.0,428000.0,435000.0,442000.0
23,Charlotte,NC,225000.0,233000.0,238000.0,245000.0,245000.0,257500.0,247500.0,250000.0,240000.0,243363.0,250000.0,253500.0,235000.0,245000.0,254000.0,255000.0,264000.0,270000.0,265000.0,255000.0,258000.0,250000.0,251250.0,262000.0,245000.0,256000.0,270000.0,269000.0,257000.0,275000.0,282000.0,287000.0
24,Sacramento,CA,377000.0,391500.0,400000.0,405000.0,410000.0,411000.0,408000.0,402500.0,409000.0,399000.0,405000.0,399000.0,387000.0,401000.0,407000.0,419750.0,422000.0,427500.0,425000.0,425000.0,419000.0,414000.0,420000.0,425000.0,418000.0,426500.0,435000.0,433500.0,435000.0,450000.0,465000.0,460000.0
25,San Antonio,TX,213000.0,210000.0,220000.0,220000.0,229000.0,232000.0,229900.0,229900.0,220000.0,223000.0,221729.0,224000.0,215000.0,220000.0,225000.0,223123.0,235000.0,238000.0,235000.0,234900.0,231000.0,232650.0,228000.0,235000.0,225000.0,233100.0,235000.0,238750.0,242999.0,247550.0,255000.0,254000.0
26,Orlando,FL,248725.0,240245.0,246000.0,249000.0,250000.0,254232.0,255000.0,254490.0,255590.0,255000.0,255000.0,260000.0,253000.0,250000.0,252000.0,249000.0,260000.0,265000.0,261990.0,263000.0,265000.0,259000.0,260000.0,270000.0,261500.0,268000.0,270000.0,275000.0,275250.0,276000.0,281000.0,285995.0
27,Cincinnati,OH,164950.0,164600.0,175000.0,176000.0,179950.0,182600.0,180900.0,180500.0,173000.0,172000.0,179900.0,174000.0,167500.0,172000.0,177400.0,180000.0,189900.0,193000.0,190000.0,185000.0,185000.0,180000.0,184000.0,187000.0,171750.0,182000.0,195000.0,199000.0,190200.0,207000.0,210000.0,217000.0
28,Cleveland,OH,130000.0,132000.0,136500.0,142850.0,145000.0,151000.0,148000.0,150000.0,149900.0,140000.0,142400.0,140000.0,142000.0,138500.0,147000.0,145100.0,159000.0,167500.0,163000.0,159250.0,154900.0,152000.0,149500.0,148000.0,149800.0,150000.0,157000.0,165000.0,165000.0,170000.0,174000.0,176000.0
29,Kansas City,MO,202750.0,198600.0,210000.0,214250.0,220000.0,222200.0,220000.0,212000.0,205000.0,212233.0,210600.0,205000.0,208495.0,205000.0,215500.0,227000.0,235000.0,239000.0,231950.0,229900.0,223000.0,216000.0,219975.0,225000.0,216750.0,219900.0,239900.0,237500.0,243000.0,250000.0,256500.0,255000.0
30,Las Vegas,NV,265000.0,275000.0,279000.0,285000.0,289900.0,288000.0,285000.0,289900.0,300000.0,295000.0,299000.0,305000.0,300000.0,300000.0,302000.0,297000.0,297250.0,300000.0,300000.0,305000.0,309000.0,300000.0,301000.0,300000.0,289000.0,302000.0,299894.0,294845.0,299950.0,308500.0,309694.0,309000.0
31,Columbus,OH,194000.0,194250.0,195000.0,195000.0,202000.0,216250.0,205000.0,200000.0,199450.0,200000.0,195000.0,204000.0,195000.0,199900.0,204990.0,214900.0,220000.0,225000.0,215000.0,205000.0,200000.0,200000.0,199500.0,199250.0,203000.0,203500.0,222000.0,218900.0,225000.0,224500.0,241500.0,236000.0
32,Indianapolis,IN,160500.0,166500.0,175000.0,179825.0,185000.0,195000.0,185000.0,180400.0,180000.0,175395.0,180000.0,182500.0,173000.0,174450.0,182500.0,189000.0,193100.0,202500.0,201149.0,200000.0,190000.0,195000.0,190000.0,195000.0,180000.0,189900.0,210000.0,210000.0,215000.0,220000.0,223000.0,225000.0
33,San Jose,CA,930000.0,1075000.0,1180000.0,1135000.0,1170000.0,1150000.0,1090000.0,1107500.0,1025000.0,1094930.0,1029500.0,971000.0,982500.0,1000000.0,1060000.0,1070000.0,1100000.0,1105000.0,1080000.0,1007000.0,999000.0,990000.0,1006750.0,970000.0,930000.0,1060000.0,1100000.0,1139000.0,1110000.0,1110000.0,1125000.0,1150000.0
34,Austin,TX,290000.0,296750.0,297000.0,310000.0,315000.0,319990.0,309900.0,315000.0,299900.0,303000.0,297500.0,302225.0,294660.0,293000.0,308569.0,316017.0,329995.0,325000.0,321000.0,319000.0,313790.0,319348.0,309000.0,321625.0,309000.0,321500.0,332000.0,325200.0,330000.0,339000.0,352950.0,351008.0
35,Virginia Beach,VA,235000.0,243000.0,241575.0,240000.0,253250.0,255000.0,250000.0,244450.0,241250.0,245000.0,240000.0,237500.0,225000.0,242000.0,235000.0,250000.0,259000.0,259000.0,261288.0,255000.0,250000.0,242700.0,242500.0,240707.0,239900.0,240000.0,254000.0,254000.0,265000.0,264000.0,278000.0,271500.0
36,Nashville,TN,261500.0,265741.0,271000.0,275000.0,280000.0,287900.0,290000.0,285000.0,270000.0,278000.0,278757.0,288900.0,275500.0,277000.0,287850.0,286000.0,300000.0,305000.0,299900.0,300000.0,295968.0,292500.0,299900.0,300000.0,284400.0,285521.0,302062.0,303600.0,304925.0,309900.0,320000.0,320000.0
37,Providence,RI,249900.0,255000.0,260000.0,265000.0,270000.0,285000.0,282000.0,274295.0,275000.0,270000.0,270000.0,267000.0,260000.0,255000.0,276500.0,275000.0,291000.0,299950.0,300000.0,295000.0,295000.0,285000.0,290000.0,284450.0,286600.0,275000.0,300000.0,305000.0,305000.0,310000.0,322000.0,334000.0
38,Milwaukee,WI,160000.0,160000.0,165000.0,175000.0,172950.0,190000.0,190950.0,187250.0,180000.0,179700.0,180000.0,170000.0,164900.0,165000.0,189000.0,194000.0,197000.0,195000.0,194000.0,196300.0,195000.0,183500.0,188950.0,180000.0,180000.0,178000.0,191000.0,196725.0,204050.0,200000.0,204950.0,217000.0
39,Jacksonville,FL,225000.0,235000.0,235000.0,236700.0,240000.0,250000.0,246752.0,245000.0,240000.0,241165.0,249900.0,250000.0,231900.0,245000.0,246150.0,246100.0,250000.0,253000.0,260000.0,258000.0,250000.0,250000.0,244900.0,250000.0,242500.0,247500.0,250311.0,255000.0,257000.0,260000.0,270000.0,265000.0
40,Memphis,TN,164900.0,147500.0,167000.0,170000.0,185000.0,188950.0,186000.0,175000.0,176000.0,175000.0,170000.0,170255.0,160000.0,174000.0,175000.0,180000.0,190000.0,205000.0,200000.0,187500.0,182700.0,180000.0,182500.0,188850.0,176000.0,182000.0,192000.0,201900.0,203000.0,210000.0,215000.0,215000.0
41,Oklahoma City,OK,160000.0,165000.0,169000.0,171500.0,173000.0,170000.0,175000.0,171000.0,175000.0,175000.0,170000.0,173000.0,175000.0,179900.0,182000.0,185500.0,185000.0,199700.0,184000.0,188000.0,186500.0,180555.0,185000.0,186438.0,176500.0,187145.0,192750.0,194726.0,195000.0,203497.0,202000.0,212000.0
42,Louisville,KY,171500.0,170000.0,169000.0,177500.0,185000.0,189900.0,196000.0,182800.0,173000.0,182900.0,178000.0,182000.0,180000.0,181900.0,179500.0,181000.0,195000.0,200750.0,205000.0,195000.0,190000.0,189950.0,184479.0,191500.0,181000.0,188000.0,194250.0,196765.0,200000.0,210000.0,224945.0,219521.0
43,Hartford,CT,207000.0,216900.0,224950.0,224375.0,225000.0,243000.0,242500.0,242000.0,220000.0,220000.0,210000.0,220000.0,208000.0,198000.0,217000.0,224900.0,230000.0,240000.0,242000.0,235000.0,224950.0,223000.0,229700.0,223611.0,220000.0,215000.0,230000.0,242500.0,240000.0,242000.0,254500.0,260000.0
44,Richmond,VA,232350.0,235000.0,240500.0,249000.0,250000.0,259470.0,255000.0,250000.0,239975.0,239375.0,249820.0,246000.0,235500.0,240000.0,252475.0,258000.0,261840.0,270000.0,266758.0,269950.0,259360.0,259900.0,259055.0,265000.0,250000.0,247950.0,260000.0,270000.0,275000.0,275000.0,281813.0,279945.0
45,New Orleans,LA,191900.0,186464.0,188900.0,187250.0,200000.0,210000.0,209000.0,200000.0,199000.0,193800.0,201000.0,200000.0,191808.0,197000.0,196900.0,195000.0,210000.0,220000.0,215000.0,214650.0,205000.0,208900.0,212285.0,214875.0,208750.0,207000.0,210000.0,219000.0,219900.0,228000.0,230000.0,228900.0
46,Buffalo,NY,144000.0,138500.0,143000.0,144000.0,150000.0,155250.0,169900.0,165000.0,163000.0,157200.0,157000.0,150000.0,148450.0,148500.0,150000.0,155000.0,161000.0,175000.0,175000.0,175000.0,169697.0,168000.0,160000.0,164000.0,160000.0,153250.0,161639.0,172000.0,177777.0,170000.0,185500.0,196500.0
47,Raleigh,NC,265000.0,272000.0,275000.0,280000.0,281000.0,285000.0,283900.0,280000.0,282500.0,277000.0,285000.0,283500.0,285000.0,287000.0,290000.0,295000.0,294000.0,295250.0,295000.0,289900.0,287500.0,290000.0,289000.0,294000.0,283000.0,294500.0,297500.0,305000.0,299000.0,299000.0,309000.0,315000.0
48,Birmingham,AL,177000.0,180000.0,190000.0,193000.0,208500.0,210000.0,203023.0,193000.0,200000.0,195000.0,193000.0,195000.0,185960.0,190000.0,199900.0,211950.0,219000.0,216100.0,206415.0,210000.0,199950.0,206000.0,205000.0,205657.0,194500.0,207958.0,228545.0,225950.0,224500.0,225000.0,225000.0,222250.0
49,Salt Lake City,UT,290750.0,295565.0,315000.0,305089.0,320000.0,325000.0,320000.0,313375.0,315000.0,322900.0,311000.0,305000.0,314300.0,315000.0,319675.0,329950.0,337150.0,345000.0,345000.0,337250.0,342000.0,335000.0,343000.0,341000.0,340000.0,352000.0,360000.0,360000.0,356500.0,370000.0,375000.0,377000.0
50,Rochester,NY,131600.0,133000.0,139950.0,139950.0,155000.0,155000.0,158000.0,150000.0,147000.0,146000.0,144900.0,140250.0,136000.0,138250.0,140000.0,145000.0,155000.0,165000.0,163000.0,160100.0,155000.0,150000.0,150250.0,151500.0,149900.0,139950.0,160000.0,162750.0,160000.0,162000.0,175000.0,179900.0
51,Grand Rapids,MI,181250.0,179900.0,185000.0,191000.0,200000.0,204900.0,200000.0,203000.0,199900.0,195500.0,189500.0,190000.0,192500.0,192000.0,199000.0,209945.0,215000.0,217625.0,213000.0,215000.0,210000.0,210000.0,203000.0,208100.0,202000.0,210000.0,225500.0,222500.0,216000.0,231000.0,236306.0,230000.0
52,Tucson,AZ,196500.0,200744.0,205000.0,210000.0,210000.0,206000.0,210000.0,214900.0,212000.0,212724.0,222500.0,210000.0,215450.0,212000.0,215000.0,215000.0,226500.0,225000.0,227000.0,220000.0,225000.0,227500.0,218000.0,231000.0,225000.0,234900.0,238450.0,235000.0,235000.0,240000.0,250000.0,250000.0
53,Urban Honolulu,HI,562750.0,565000.0,558500.0,535000.0,595000.0,560000.0,579000.0,584500.0,579888.0,580000.0,585000.0,545000.0,594888.0,557500.0,590000.0,575000.0,580000.0,602500.0,625000.0,593000.0,599750.0,585000.0,570000.0,595000.0,580000.0,594500.0,637000.0,625000.0,610000.0,615925.0,600000.0,625000.0
54,Tulsa,OK,159000.0,161000.0,163000.0,162250.0,169000.0,168065.0,166000.0,170000.0,165000.0,167000.0,170000.0,160000.0,163000.0,160000.0,165000.0,170000.0,179500.0,180000.0,179000.0,170000.0,168604.0,169000.0,169000.0,177512.0,175000.0,180000.0,181000.0,181000.0,188000.0,192000.0,200000.0,200000.0
55,Fresno,CA,255000.0,275500.0,268000.0,265000.0,271250.0,276000.0,275000.0,275500.0,270000.0,275000.0,275000.0,275000.0,272250.0,274500.0,290000.0,274000.0,277000.0,276000.0,280000.0,275750.0,280000.0,275000.0,282250.0,280000.0,277999.0,275000.0,280000.0,283000.0,285230.0,307270.0,310000.0,300000.0
56,Worcester,MA,250000.0,245000.0,250000.0,256750.0,265000.0,289000.0,280000.0,272750.0,275000.0,255000.0,265000.0,259000.0,257000.0,249900.0,257750.0,265000.0,279450.0,287500.0,285000.0,290000.0,280000.0,280000.0,280000.0,280000.0,274450.0,262000.0,281950.0,285000.0,305000.0,301000.0,325000.0,320000.0
57,Stamford,CT,393500.0,390250.0,372500.0,401000.0,410000.0,459680.0,445000.0,429500.0,380000.0,365000.0,389700.0,400000.0,378500.0,355000.0,370000.0,385000.0,414000.0,442500.0,430000.0,425000.0,400000.0,353000.0,390000.0,390000.0,401315.0,375000.0,385000.0,415000.0,444500.0,475100.0,475000.0,510000.0
58,Albuquerque,NM,183800.0,190000.0,193000.0,205000.0,200000.0,205000.0,205000.0,205000.0,195000.0,195000.0,199000.0,200000.0,197250.0,200000.0,202500.0,212000.0,220000.0,225000.0,220000.0,219000.0,212000.0,220000.0,216450.0,217700.0,216900.0,222000.0,228545.0,229000.0,224900.0,235000.0,245900.0,250000.0
