,City,State,Average2018,Average2019,Average2020,2018-2019 changing rate,2019-2020 changing rate
0,New York, NY,2620.3333333333335,2682.4166666666665,2665.375,2.3144552486874286,-0.6393721959073869
1,Los Angeles, CA,2426.5833333333335,2515.5,2545.375,3.5347512091698077,1.1736973923292247
2,Chicago, IL,1721.0,1762.9166666666667,1774.875,2.377688489718747,0.6737563678193257
3,Dallas, TX,1491.8333333333333,1542.1666666666667,1566.375,3.2638063330811726,1.5455004921128885
4,Philadelphia, PA,1527.8333333333333,1578.5,1607.0,3.209798331749556,1.773490976975731
5,Houston, TX,1455.1666666666667,1476.6666666666667,1484.75,1.455981941309255,0.5444238648481736
6,Washington, DC,2056.0833333333335,2109.5,2117.625,2.5321956229754217,0.3836845522696417
7,Miami, FL,1855.8333333333333,1903.1666666666667,1934.375,2.4870829319555208,1.6133548734518
8,Atlanta, GA,1443.5,1520.5833333333333,1565.625,5.069326464624317,2.8769128409847022
9,Boston, MA,2458.25,2534.0833333333335,2543.375,2.9925351047387343,0.36532822201470544
10,San Francisco, CA,3078.5,3172.5833333333335,3152.375,2.9655118068871364,-0.6410510593864462
11,Detroit, MI,1179.5833333333333,1218.25,1245.375,3.1739517066830896,2.1780588176252134
12,Riverside, CA,1834.75,1926.4166666666667,2004.5,4.758402906951598,3.8954020121393493
13,Phoenix, AZ,1299.4166666666667,1401.9166666666667,1477.125,7.311418890804255,5.091534794505086
14,Seattle, WA,1838.0,1917.25,1960.375,4.133524579475812,2.199834215392463
15,Minneapolis, MN,1497.5833333333333,1555.5833333333333,1586.625,3.7285048481277125,1.9564589406234456
16,San Diego, CA,2215.5,2293.6666666666665,2338.0,3.407934893184124,1.8962075848303457
17,St. Louis, MO,1059.8333333333333,1091.8333333333333,1122.5,2.930850251869944,2.7319970304380172
18,Tampa, FL,1434.0,1497.3333333333333,1547.375,4.229741763134457,3.233971510892107
19,Baltimore, MD,1622.8333333333333,1654.6666666666667,1667.375,1.9238517324738205,0.7621760751680491
20,Denver, CO,1687.0,1748.6666666666667,1769.75,3.526496378192913,1.1913170410133214
21,Pittsburgh, PA,1081.75,1117.9166666666667,1142.875,3.2351844949683253,2.1838200444784652
22,Portland, OR,1564.5833333333333,1618.75,1649.75,3.346203346203351,1.879072586755569
23,Charlotte, NC,1390.5,1457.8333333333333,1491.75,4.618726420487019,2.2736159991062004
24,Sacramento, CA,1681.8333333333333,1770.0833333333333,1833.0,4.985640977355115,3.4324422622295008
25,San Antonio, TX,1270.75,1313.4166666666667,1338.375,3.2485248397944346,1.8648236356277765
26,Orlando, FL,1506.3333333333333,1569.4166666666667,1595.375,4.019540168852555,1.6270991668625407
27,Cincinnati, OH,1134.6666666666667,1193.8333333333333,1236.25,4.956024012285343,3.4310751600943776
28,Cleveland, OH,1042.75,1070.8333333333333,1092.375,2.622568093385207,1.9720028988824114
29,Kansas City, MO,1131.75,1166.25,1205.125,2.9581993569131835,3.225806451612903
30,Las Vegas, NV,1307.5833333333333,1391.25,1433.25,6.013776579814321,2.93040293040293
31,Columbus, OH,1208.3333333333333,1254.75,1295.0,3.6992760842133285,3.1081081081081083
32,Indianapolis, IN,1148.4166666666667,1195.9166666666667,1243.5,3.971848651661905,3.826564803645618
33,San Jose, CA,3004.9166666666665,3096.4166666666665,3080.375,2.955028662163253,-0.5207699279037947
34,Austin, TX,1489.6666666666667,1554.25,1572.25,4.15527317570103,1.1448560979487994
35,Virginia Beach, VA,1295.0,1330.75,1362.5,2.6864550065752395,2.330275229357798
36,Nashville, TN,1504.0,1565.3333333333333,1610.0,3.9182282793867076,2.774327122153214
37,Providence, RI,1509.4166666666667,1565.25,1619.0,3.5670553159772087,3.319950586781964
38,Milwaukee, WI,1066.6666666666667,1093.3333333333333,1115.75,2.4390243902438886,2.0091119575771224
39,Jacksonville, FL,1290.1666666666667,1340.0,1375.875,3.7189054726368105,2.6074316344144637
40,Memphis, TN,1225.25,1272.0,1336.25,3.675314465408805,4.80823199251637
41,Oklahoma City, OK,1020.75,1053.75,1069.75,3.131672597864769,1.4956765599439121
42,Louisville, KY,961.5833333333334,989.0833333333334,1014.75,2.7803521779425395,2.5293586269195987
43,Hartford, CT,1325.25,1357.4166666666667,1389.0,2.3696973417643865,2.2738180945524307
44,Richmond, VA,1232.1666666666667,1276.8333333333333,1312.25,3.4982378279597848,2.6989267797040766
45,New Orleans, LA,1364.9166666666667,1394.5,1416.125,2.1214294251225,1.5270544620001765
46,Buffalo, NY,1001.5833333333334,1036.1666666666667,1072.375,3.337622647579222,3.376461903096702
47,Raleigh, NC,1425.8333333333333,1483.9166666666667,1513.25,3.9141910484640974,1.9384327330800102
48,Birmingham, AL,1070.0833333333333,1109.1666666666667,1140.5,3.523666416228413,2.747333041063854
49,Salt Lake City, UT,1314.0,1370.6666666666667,1398.625,4.1342412451361925,1.998987100426008
50,Rochester, NY,1042.4166666666667,1068.5,1097.125,2.441116830447661,2.6090919448558734
51,Grand Rapids, MI,1127.1666666666667,1180.3333333333333,1219.625,4.50437729454955,3.221618666939981
52,Tucson, AZ,1128.5,1197.4166666666667,1250.25,5.755445751270101,4.225821502366188
53,Urban Honolulu, HI,2041.5,2080.9166666666665,2092.0,1.894197268831838,0.5297960484385031
54,Tulsa, OK,1056.9166666666667,1086.3333333333333,1121.375,2.7078858545565985,3.1248838851112914
55,Fresno, CA,1340.8333333333333,1420.9166666666667,1483.0,5.636033077238882,4.186334007642162
56,Worcester, MA,1317.6666666666667,1391.0833333333333,1451.75,5.277661295153647,4.178864588714775
57,Stamford, CT,2111.75,2164.6666666666665,2219.25,2.444564213119796,2.459539634260831
58,Albuquerque, NM,1076.25,1122.0,1163.0,4.077540106951872,3.52536543422184
59,Albany, NY,1261.5833333333333,1291.0,1320.125,2.278595404079531,2.206230470599375
60,Omaha, NE,1123.4166666666667,1162.6666666666667,1208.0,3.375860091743119,3.752759381898448
61,New Haven, CT,1370.1666666666667,1407.8333333333333,1452.5,2.675506096839104,3.07515777395296
62,Bakersfield, CA,1156.3333333333333,1217.25,1276.125,5.00444992127063,4.61357625624449
63,Knoxville, TN,1185.4166666666667,1241.9166666666667,1279.0,4.549419579950345,2.899400573364602
64,Greenville, SC,1181.0,1226.0833333333333,1251.375,3.6770203221640667,2.0211101122099087
65,Ventura, CA,2531.0,2609.25,2657.25,2.998946057296158,1.8063787750493931
66,Allentown, PA,1287.5833333333333,1336.5,1376.25,3.6600573637610734,2.888283378746594
67,El Paso, TX,1070.9166666666667,1100.3333333333333,1140.125,2.6734322932444576,3.4901143880422536
68,Baton Rouge, LA,1187.25,1187.8333333333333,1200.25,0.049109022028897796,1.0345066999930632
69,Dayton, OH,929.0833333333334,969.8333333333334,1009.625,4.201752878501461,3.941232305724069
70,Columbia, SC,1086.6666666666667,1131.8333333333333,1171.375,3.9905757620379783,3.375662504890982
71,Greensboro, NC,1135.8333333333333,1186.75,1229.75,4.290429042904297,3.496645659686928
72,Akron, OH,824.5,846.4166666666666,877.5,2.5893472482032056,3.54226020892688
73,North Port-Sarasota-Bradenton, FL,1631.25,1682.6666666666667,1727.125,3.055665610142635,2.574123664085301
74,Little Rock, AR,867.3333333333334,887.8333333333334,911.5,2.3089919279143984,2.5964527335893175
75,Stockton, CA,1744.4166666666667,1841.5833333333333,1927.625,5.276256844201087,4.463610228476324
76,Charleston, SC,1484.4166666666667,1524.75,1553.375,2.645242389462749,1.8427617284944071
77,Syracuse, NY,983.8333333333334,1014.0,1067.375,2.9750164365548946,5.000585548659093
78,Colorado Springs, CO,1432.3333333333333,1507.25,1572.125,4.970420744180908,4.126580265564125
79,Winston-Salem, NC,1164.5,1220.75,1262.75,4.607823059594511,3.3260740447436152
80,Wichita, KS,786.1666666666666,801.25,822.875,1.8824752990119653,2.6279811636032204
81,Springfield, MA,1330.6666666666667,1371.3333333333333,1407.375,2.9654837141468047,2.5609142315777063
82,Fort Myers, FL,1483.1666666666667,1530.0833333333333,1568.0,3.0662817929306585,2.4181547619047667
83,Boise City, ID,1158.3333333333333,1241.0,1293.625,6.6612946548482475,4.068025896221857
84,Toledo, OH,844.8333333333334,864.0833333333334,887.125,2.22779438711544,2.597341599736974
85,Madison, WI,1240.3333333333333,1272.6666666666667,1297.25,2.540597171293883,1.895034367572423
86,Lakeland, FL,1278.5,1344.3333333333333,1399.0,4.897098933796176,3.9075530140576658
87,Ogden, UT,1196.5,1266.9166666666667,1315.875,5.558113530224303,3.72059149488616
88,Daytona Beach, FL,1322.9166666666667,1382.5,1434.0,4.30982519590114,3.5913528591352857
89,Des Moines, IA,1086.1666666666667,1101.8333333333333,1123.875,1.421872636514886,1.9612204797390052
90,Jackson, MS,1176.75,1192.75,1217.625,1.341437853699434,2.0429114053998565
91,Youngstown, OH,666.0,686.3333333333334,706.625,2.9626032054395393,2.871631582050823
92,Augusta, GA,1070.0833333333333,1108.3333333333333,1149.5,3.4511278195488724,3.5812672176308604
93,Scranton, PA,849.75,882.5,911.5,3.7110481586402266,3.1815688425671973
94,Harrisburg, PA,1085.75,1128.4166666666667,1153.125,3.781109223838718,2.1427280939476
95,Melbourne, FL,1358.8333333333333,1426.1666666666667,1483.0,4.721280822718253,3.832321870083159
96,Chattanooga, TN,1136.0,1181.4166666666667,1221.625,3.8442547788671853,3.291381015723586
97,Spokane, WA,1084.1666666666667,1143.75,1200.0,5.20947176684881,4.6875
98,Provo, UT,1252.9166666666667,1300.5,1325.0,3.6588491605792584,1.849056603773585
99,Durham, NC,1353.5,1411.8333333333333,1433.25,4.131743595797421,1.4942729228443565
100,Port St. Lucie, FL,1530.8333333333333,1602.25,1675.25,4.457273625630628,4.357558573347261
101,Fort Collins, CO,1566.9166666666667,1619.1666666666667,1647.25,3.226968605249614,1.70486163808367
102,Boulder, CO,1913.1666666666667,1970.75,1996.0,2.921899446065369,1.2650300601202404
103,Greeley, CO,1601.5,1663.0,1691.375,3.698135898977751,1.6776291478826397
104,Gainesville, GA,1274.5833333333333,1364.5833333333333,1411.25,6.595419847328245,3.306761145556545
